1.19563 3.16587 2.41726 1.99757 2.40798
1.36723 1.9675 2.52186 1.79603 1.88479
1.90822 1.67716 3.43559 2.95573 2.95573
1.45611 2.12222 3.62568 4.38355 4.38355
1.5652 3.02028 2.69702 3.5675 2.78443
1.60423 1.1683 2.5538 2.56607 2.56607
1.48493 2.80097 1.57171 2.3691 2.35692
2.09266 2.96006 3.21311 2.3091 2.3091
1.45074 3.65418 1.40214 1.74555 1.74555
1.22761 2.5436 1.54886 1.91632 1.91632
2.18014 2.66915 3.06164 2.19309 3.35362
1.10554 4.41334 2.88423 2.18141 2.18141
2.00338 2.85268 1.67181 4.51776 2.68519
1.02315 3.02012 2.0509 2.68843 2.68843
2.58959 4.07247 2.95552 1.74199 1.74199
1.57843 1.98754 2.04955 1.8759 2.51681
3.19302 6.47371 2.61144 2.73267 2.73267
1.56087 3.14871 1.89375 2.04843 1.26772
1.21909 2.61793 1.61468 1.9869 1.81639
1.31697 2.64398 2.42618 2.57834 2.57834
