1.7749 1.05563 0.438846 0.305078 0.305078
1.33252 1.2029 0.19663 0.225532 0.125565
1.19632 1.04688 0.390688 0.188934 0.188934
1.55644 1 0.278704 0.258914 0.258914
1.22605 1.20706 0.255128 0.264689 0.264689
1.39259 1 0.44521 0.368563 0.368563
1.29885 1.09618 0.305899 0.303871 0.303871
1.31092 1.06826 0.228408 0.186018 0.186018
1.22422 1.09328 0.347789 0.293343 0.299556
1.10185 1.03253 0.250918 0.231167 0.231167
1.85317 1.09186 0.455717 0.376327 0.376327
1.36086 1.00873 0.400454 0.289849 0.362615
1.15897 1.1367 0.276763 0.271022 0.271022
1.35677 1.14718 0.220478 0.105885 0.110242
1.2688 1.1375 0.284863 0.231365 0.231365
1.06256 1.00744 0.234269 0.223316 0.223316
1.38036 1 0.376885 0.21948 0.214545
1.29902 1.04166 0.266707 0.223465 0.223465
1.40981 1 0.517617 0.47043 0.49593
1.38209 1 0.2197 0.173109 0.235955
