1.19563 3.16587 0.142502 0.204425 0.207885
1.36723 1.9675 0.172987 0.293719 0.171593
1.90822 1.67716 0.315805 0.291295 0.291295
1.45611 2.12222 0.0882172 0.166173 0.166173
1.5652 3.02028 0.177347 0.226515 0.203149
1.60423 1.1683 0.425183 0.409046 0.409046
1.48493 2.80097 0.203561 0.152059 0.136599
2.09266 2.96006 0.133161 0.132149 0.132149
1.45074 3.65418 0.0837603 0.0686073 0.0686073
1.22761 2.5436 0.398893 0.207059 0.207059
2.18014 2.66915 0.322046 0.423036 0.319438
1.10554 4.41334 0.0616415 0.06188 0.06188
2.00338 2.85268 0.147255 0.157439 0.13052
1.02315 3.02012 0.0965407 0.13572 0.13572
2.58959 4.07247 0.24466 0.231563 0.231563
1.57843 1.98754 0.0621289 0.0783125 0.0699788
3.19302 6.47371 0.0155445 0.0153761 0.0153761
1.56087 3.14871 0.263258 0.391364 0.173247
1.21909 2.61793 0.232045 0.316096 0.305066
1.31697 2.64398 0.101372 0.09835 0.09835
