1.19563 3.16587 2.41726 1.99757 2.40798 0.142502 0.204425 0.207885
1.36723 1.9675 2.52186 1.79603 1.88479 0.172987 0.293719 0.171593
1.90822 1.67716 3.43559 2.95573 2.95573 0.315805 0.291295 0.291295
1.45611 2.12222 3.62568 4.38355 4.38355 0.0882172 0.166173 0.166173
1.5652 3.02028 2.69702 3.5675 2.78443 0.177347 0.226515 0.203149
1.60423 1.1683 2.5538 2.56607 2.56607 0.425183 0.409046 0.409046
1.48493 2.80097 1.57171 2.3691 2.35692 0.203561 0.152059 0.136599
2.09266 2.96006 3.21311 2.3091 2.3091 0.133161 0.132149 0.132149
1.45074 3.65418 1.40214 1.74555 1.74555 0.0837603 0.0686073 0.0686073
1.22761 2.5436 1.54886 1.91632 1.91632 0.398893 0.207059 0.207059
2.18014 2.66915 3.06164 2.19309 3.35362 0.322046 0.423036 0.319438
1.10554 4.41334 2.88423 2.18141 2.18141 0.0616415 0.06188 0.06188
2.00338 2.85268 1.67181 4.51776 2.68519 0.147255 0.157439 0.13052
1.02315 3.02012 2.0509 2.68843 2.68843 0.0965407 0.13572 0.13572
2.58959 4.07247 2.95552 1.74199 1.74199 0.24466 0.231563 0.231563
1.57843 1.98754 2.04955 1.8759 2.51681 0.0621289 0.0783125 0.0699788
3.19302 6.47371 2.61144 2.73267 2.73267 0.0155445 0.0153761 0.0153761
1.56087 3.14871 1.89375 2.04843 1.26772 0.263258 0.391364 0.173247
1.21909 2.61793 1.61468 1.9869 1.81639 0.232045 0.316096 0.305066
1.31697 2.64398 2.42618 2.57834 2.57834 0.101372 0.09835 0.09835
