1.7749 1.05563 1.91542 1.91413 1.91413
1.33252 1.2029 1.60639 1.61962 1.64159
1.19632 1.04688 1.20958 1.25587 1.25587
1.55644 1 1.57212 1.57747 1.57747
1.22605 1.20706 1.25057 1.30397 1.30397
1.39259 1 1.64007 1.47445 1.47445
1.29885 1.09618 1.53674 1.45429 1.45429
1.31092 1.06826 1.49262 1.45574 1.45574
1.22422 1.09328 1.30656 1.24419 1.33126
1.10185 1.03253 1.30386 1.36762 1.36762
1.85317 1.09186 1.85882 1.90643 1.90643
1.36086 1.00873 1.52934 1.5274 1.43252
1.15897 1.1367 1.22485 1.16893 1.16893
1.35677 1.14718 1.45691 1.48373 1.41084
1.2688 1.1375 1.59889 1.54273 1.54273
1.06256 1.00744 1.39954 1.43913 1.43913
1.38036 1 1.40707 1.39818 1.42491
1.29902 1.04166 1.35198 1.32014 1.32014
1.40981 1 1.3254 1.17728 1.33249
1.38209 1 1.67299 1.64899 1.64777
