2.561145, 1.013401, 2.578182, 1.029023, 1.201753, 12.698569, 2.664203, 1.000000
2.329518, 1.000000, 2.356356, 1.015947, 1.279046, 23.303510, 2.303906, 1.033052
2.141028, 1.000569, 2.108240, 1.084431, 1.086867, 15.200755, 2.329111, 1.000000
2.360942, 1.049315, 2.363165, 1.000000, 1.079321, 13.641924, 2.393918, 1.048954
2.912877, 1.003415, 2.898511, 1.043265, 2.898511, 1.043265, 2.926436, 1.000000
2.277485, 1.001113, 2.256722, 1.032703, 1.195666, 10.940423, 2.403720, 1.000000
3.095224, 1.000401, 3.108578, 1.044078, 3.108578, 1.044078, 3.065926, 1.000000
2.316610, 1.004899, 2.429060, 1.041998, 1.080256, 11.018314, 2.145578, 1.000000
2.547771, 1.009950, 2.487281, 1.043084, 1.148179, 20.268863, 2.869519, 1.000000
2.178350, 1.017272, 2.193211, 1.000000, 1.796230, 18.916515, 2.157090, 1.016465
