1.000000, 1.194626, 2.561145, 2.578182, 1.201753, 1.022216, 2.664203
1.000000, 1.057437, 2.329518, 2.356356, 1.279046, 1.000000, 2.303906
1.000000, 1.064024, 2.141028, 2.108240, 1.086867, 1.002365, 2.329111
1.000000, 1.067683, 2.360942, 2.363165, 1.079321, 1.015566, 2.393918
1.000000, 1.018467, 2.912877, 2.898511, 2.898511, 1.000000, 2.926436
1.000000, 1.188551, 2.277485, 2.256722, 1.195666, 1.000000, 2.403720
1.000000, 1.111293, 3.095224, 3.108578, 3.108578, 1.000000, 3.065926
1.000000, 1.062926, 2.316610, 2.429060, 1.080256, 1.001764, 2.145578
1.000000, 1.028229, 2.547771, 2.487281, 1.148179, 1.000000, 2.869519
1.000000, 1.106651, 2.178350, 2.193211, 1.796230, 1.000000, 2.157090
