OPT Result
<function find_opt at 0xb77881b4>
(-3, -2, -1, 0, 1, 2, 3) 0.0 0.0 -3.0 3.0 -10.5
(-3, -2, -1, 0, 1, 3, 2) 0.0 0.0 -3.0 3.0 -10.3333333333
(-3, -2, -1, 0, 2, 1, 3) 0.0 0.0 -3.0 3.0 -10.3
(-3, -2, -1, 0, 2, 3, 1) 0.0 0.0 -3.0 3.0 -9.96666666667
(-3, -2, -1, 0, 3, 1, 2) 0.0 0.0 -3.0 3.0 -9.93333333333
(-3, -2, -1, 0, 3, 2, 1) 0.0 0.0 -3.0 3.0 -9.76666666667
(-3, -2, -1, 1, 0, 2, 3) 0.0 0.0 -3.0 3.0 -10.25
(-3, -2, -1, 1, 0, 3, 2) 0.0 0.0 -3.0 3.0 -10.0833333333
(-3, -2, -1, 1, 2, 0, 3) 0.0 0.0 -3.0 3.0 -9.85
(-3, -2, -1, 1, 2, 3, 0) 0.0 0.0 -3.0 3.0 -9.35
(-3, -2, -1, 1, 3, 0, 2) 0.0 0.0 -3.0 3.0 -9.48333333333
(-3, -2, -1, 1, 3, 2, 0) 0.0 0.0 -3.0 3.0 -9.15
(-3, -2, -1, 2, 0, 1, 3) 0.0 0.0 -3.0 3.0 -9.8
(-3, -2, -1, 2, 0, 3, 1) 0.0 0.0 -3.0 3.0 -9.46666666667
(-3, -2, -1, 2, 1, 0, 3) 0.0 0.0 -3.0 3.0 -9.6
(-3, -2, -1, 2, 1, 3, 0) 0.0 0.0 -3.0 3.0 -9.1
(-3, -2, -1, 2, 3, 0, 1) 0.0 0.0 -3.0 3.0 -8.86666666667
(-3, -2, -1, 2, 3, 1, 0) 0.0 0.0 -3.0 3.0 -8.7
(-3, -2, -1, 3, 0, 1, 2) 0.0 0.0 -3.0 3.0 -9.18333333333
(-3, -2, -1, 3, 0, 2, 1) 0.0 0.0 -3.0 3.0 -9.01666666667
(-3, -2, -1, 3, 1, 0, 2) 0.0 0.0 -3.0 3.0 -8.98333333333
(-3, -2, -1, 3, 1, 2, 0) 0.0 0.0 -3.0 3.0 -8.65
(-3, -2, -1, 3, 2, 0, 1) 0.0 0.0 -3.0 3.0 -8.61666666667
(-3, -2, -1, 3, 2, 1, 0) 0.0 0.0 -3.0 3.0 -8.45
(-3, -2, 0, -1, 1, 2, 3) 0.0 0.0 -3.0 3.0 -10.1666666667
(-3, -2, 0, -1, 1, 3, 2) 0.0 0.0 -3.0 3.0 -10.0
(-3, -2, 0, -1, 2, 1, 3) 0.0 0.0 -3.0 3.0 -9.96666666667
(-3, -2, 0, -1, 2, 3, 1) 0.0 0.0 -3.0 3.0 -9.63333333333
(-3, -2, 0, -1, 3, 1, 2) 0.0 0.0 -3.0 3.0 -9.6
(-3, -2, 0, -1, 3, 2, 1) 0.0 0.0 -3.0 3.0 -9.43333333333
(-3, -2, 0, 1, -1, 2, 3) 0.0 0.0 -3.0 3.0 -9.66666666667
(-3, -2, 0, 1, -1, 3, 2) 0.0 0.0 -3.0 3.0 -9.5
(-3, -2, 0, 1, 2, -1, 3) 0.0 0.0 -3.0 3.0 -9.06666666667
(-3, -2, 0, 1, 2, 3, -1) 0.0 0.166666666667 -3.0 3.16666666667 -8.4
(-3, -2, 0, 1, 3, -1, 2) 0.0 0.0 -3.0 3.0 -8.7
(-3, -2, 0, 1, 3, 2, -1) 0.0 0.166666666667 -3.0 3.16666666667 -8.2
(-3, -2, 0, 2, -1, 1, 3) 0.0 0.0 -3.0 3.0 -9.21666666667
(-3, -2, 0, 2, -1, 3, 1) 0.0 0.0 -3.0 3.0 -8.88333333333
(-3, -2, 0, 2, 1, -1, 3) 0.0 0.0 -3.0 3.0 -8.81666666667
(-3, -2, 0, 2, 1, 3, -1) 0.0 0.166666666667 -3.0 3.16666666667 -8.15
(-3, -2, 0, 2, 3, -1, 1) 0.0 0.0 -3.0 3.0 -8.08333333333
(-3, -2, 0, 2, 3, 1, -1) 0.0 0.166666666667 -3.0 3.16666666667 -7.75
(-3, -2, 0, 3, -1, 1, 2) 0.0 0.0 -3.0 3.0 -8.6
(-3, -2, 0, 3, -1, 2, 1) 0.0 0.0 -3.0 3.0 -8.43333333333
(-3, -2, 0, 3, 1, -1, 2) 0.0 0.0 -3.0 3.0 -8.2
(-3, -2, 0, 3, 1, 2, -1) 0.0 0.166666666667 -3.0 3.16666666667 -7.7
(-3, -2, 0, 3, 2, -1, 1) 0.0 0.0 -3.0 3.0 -7.83333333333
